Date,Price,Open,High,Low,Vol.,Change %
8/25/2022,17100,17100,17400,17000,25.00K,-2.29%
8/26/2022,16900,17900,17900,16900,5.20K,-1.17%
8/29/2022,16700,17000,17000,16400,10.70K,-1.18%
8/30/2022,16600,17000,17000,16600,4.30K,-0.60%
8/31/2022,16700,16900,16900,16400,13.70K,0.60%
9/5/2022,16500,17800,17800,16400,17.90K,-1.20%
9/6/2022,16400,17100,17100,16400,16.30K,-0.61%
9/7/2022,16300,16400,16900,16300,9.20K,-0.61%
9/8/2022,16200,17000,17000,16100,12.40K,-0.61%
9/9/2022,16100,16500,16500,16100,7.51K,-0.62%
9/12/2022,16400,16800,16800,16200,2.40K,1.86%
9/13/2022,16300,16300,16300,16300,6.50K,-0.61%
9/14/2022,15900,16200,16300,15600,4.50K,-2.45%
9/15/2022,16300,15900,16300,15900,12.30K,2.52%
9/16/2022,16000,16400,16600,16000,9.50K,-1.84%
9/19/2022,15300,16700,17000,13600,38.32K,-4.38%
9/20/2022,16000,16500,16700,15500,14.60K,4.58%
9/21/2022,15800,16000,16000,15500,1.70K,-1.25%
9/22/2022,15600,15800,15800,15400,9.40K,-1.27%
9/23/2022,15800,15500,15900,15500,13.00K,1.28%
